X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
5.23	5.73	3.17	5.61	4.83	4.08	6.25	4.64	4.98	5.33	3.55	6.72	5.12	1.98	4.68	4.47	5.36	3.91	5.16	3.9
6.96	4.58	2.78	5.3	5.74	5.77	5.82	4.81	5.26	3.99	4.95	4.24	5.12	5.85	7.53	4.15	6.41	5.96	3.32	7.59
7.75	5.85	5.12	5.04	5.94	5.41	5.13	4.76	4.13	3.8	5.36	6.94	6.04	2.73	4.72	4.59	7.6	4.58	4.44	5.52
4.81	4.7	4.17	5.88	5.15	6.67	5.81	5.87	4.16	5.77	5.13	3.69	5.27	5.29	4.39	5.85	3.85	4.11	5.42	4.48
5.67	4.34	6.33	2.72	4.12	6.57	4.47	5.12	5.23	4.68	6.85	6.42	5.76	5.15	4.94	6.15	5.79	5.35	4.13	3.37
4.91	4.24	5.18	6.39	4.44	4.25	3.72	5.37	6.1	7.86	4.73	5.2	4.81	8.18	6.13	7.29	6.1	4.08	6.26	4.52
4.37	6.12	5.43	4.12	5.4	4.59	4.4	5.11	4.88	6.07	4.63	6.94	3.87	4.36	3.91	3.65	4.68	4.69	4.06	3.31
2.98	5.45	5.34	3.63	6.1	4.86	5.88	3.59	5.14	5.01	4.97	3.39	5.36	5.23	4.45	4.43	4.91	4.82	5.01	5.13
5.87	6.02	5.4	5.85	5.91	6.03	3.95	4.5	5.14	5.12	3.46	4.52	6.12	3.46	6.72	4.84	4.77	4.35	2.64	6.18
6.04	4.03	4.48	5.39	5.11	5.16	4.88	6.78	5.62	6.05	5.6	2.93	4.45	5.54	4.19	3.37	5.41	7.12	6.02	3.75
3.75	4.35	4.66	4.41	4.8	5.29	4.68	4.34	3.79	4.28	5.9	5.52	6.61	4.12	4.41	5.66	4.26	6.72	4.05	3.76
3.53	4.42	4.43	5.8	6.25	7.56	4.65	4.61	5.1	6.98	4.18	4.85	5.18	4.41	3.68	5.12	6.44	5.92	4.41	6.22
5.97	5.37	5.1	4.15	5.28	4.65	3.39	5.28	4.76	5.43	5.48	4.39	5.19	5.9	5.14	6.99	4.52	4.85	6.08	3.75
5.39	4.86	5.87	6.23	5.06	5.76	6.45	5.46	4.69	6.46	3.22	5.02	4.96	4.84	4.96	5.9	5.13	5.55	5.64	6.02
5.46	4.95	4.8	4.16	5.35	5.1	2.49	5.4	4.86	5.74	6.61	5.47	4.03	6.18	4.46	6.39	3.44	4.26	4.02	6.11
2.83	5.82	3.57	5.67	2.58	4.76	6.2	6.26	5.22	5.41	4.49	5.61	5.79	4.59	5.25	4.85	5.34	3.79	3.79	4.19
5.08	6.31	5.41	4.57	5.35	4.26	4.17	3.46	5.38	4.53	6.12	4.66	3.38	3.5	4.32	6.34	4.68	4.97	4.98	4.39
5.07	3.03	4.89	5.01	3.46	3.57	4.85	6.95	5.63	5.74	4.02	6.25	5.18	5.82	5.15	6.38	4.74	4.69	6.15	3.78
4.02	6.71	4.7	5.84	4.44	4.09	5.45	4.77	6.15	3.64	2.59	3.85	5.28	5.67	4.18	3.35	5.3	5.47	5.29	7.76
5.97	5.71	2.45	5.47	3.59	4.93	3.83	4.44	6.04	4.83	4.37	4.05	6.49	6.52	5.32	4.6	7.63	5.28	2.69	6.36
6.04	5.63	4.92	5.51	6.8	4.68	2.66	5.46	5.96	5.4	5.31	6.28	3.78	6.04	4.89	4.69	4.42	6.18	4.3	5.21
4.08	5.8	4.31	3.87	5.62	4.53	5.11	4.55	4.71	6.05	4.49	5.97	3.78	5.99	4.2	5.7	6.07	4.64	5.21	5.01
4.72	6.12	5.3	5.3	4.25	4.15	4.36	3.54	4.17	6.04	4.96	4.16	5.54	4.66	4.63	4.77	3.54	3.94	2.43	5.74
3.23	4.37	4.29	4.12	4.44	4.75	4.32	4.33	5.01	3.25	4.09	5.07	3.41	6.02	5.29	5.74	4.63	5.24	4.82	6.33
6.03	3.62	5.06	4.29	4.5	3.89	6.29	3.75	6.12	5.87	6.64	6.74	5.67	4.24	7.28	5.2	5.84	4.24	6.93	4.85
4.59	4.88	4.33	5.77	5.1	3.18	3.55	3.79	6.86	3.15	6.19	3.76	5.65	1.81	5.19	5.89	5.59	3.77	5.25	4.96
6.21	5.48	5.13	4.21	5.74	6.22	7.28	6.96	5.84	4.28	6.47	5.51	4.73	6.26	4.13	6.53	3.52	5.95	5.52	3.88
5.47	5.23	5.25	4.78	6.15	7.33	4.06	5.31	4.24	4.16	5.83	4.3	2.38	5.51	5.2	4.91	4.99	3.6	5.55	3.33
5.25	5.09	6.53	5.05	2.88	4.59	5.22	5.01	4.8	3.07	5.6	5.17	6.18	5.44	5.98	4.59	4.34	5.39	4.53	5.81
5.04	5.18	6.82	5.27	5.63	5.66	6.21	3.99	4.72	5.07	5.43	6.77	6.47	5.65	6.06	5.5	4.12	4.01	5.85	5.42
4.71	4.99	6.59	5.88	5.16	5.05	5.3	4.22	5.07	4.51	3.68	5.73	5.28	7.03	4.82	6.34	5.87	5.83	6.13	5.69
7.99	6.18	5.18	4.91	6.19	5.03	3.84	6.57	4.41	6.33	3.82	3.79	3.89	6.26	3.72	5.79	5.44	6.04	6.3	4.99
4.14	5.64	4.44	5.05	5.21	3.4	5.43	6.86	5.12	4.72	6.17	6.37	2.88	4.34	4.92	6.06	5.41	4.66	5.97	5.39
3.68	5.25	6.17	4.46	5.83	6.12	6.02	3.95	5.65	4.62	5.38	5.09	5.75	5.37	6.22	5.21	5.12	5.74	7.6	7.61
5.28	3.34	4.91	5.03	4.21	4.57	4.53	5.56	5.15	4.08	5.23	5.51	5.53	5.63	5.99	4.71	4.72	4.6	5.95	4.27
6.01	3.14	3.62	3.96	5.75	6.3	3.07	5.15	3.54	5.85	5.72	5.67	4.68	4.94	6.44	4.13	4.89	3.62	4.28	5.88
5.08	4.68	5.66	4.88	6.13	4.25	6.35	5.31	2.85	5.21	7.31	5.29	4.93	6.59	4.53	4.84	4.42	4.44	4.05	5.92
5.26	3.96	3.35	6.08	6.15	4.65	6.96	2.94	4.81	3.47	5.73	4.8	4.08	3.57	3.87	4.55	7.61	5.08	3.44	5.47
3.79	5.11	3.87	5.56	5.32	4.84	5.39	5.21	5.15	3.52	4.74	5.84	5.83	4.3	3.17	4.71	4.01	6.24	4.89	2.77
4.43	4.77	7.46	3.8	3.67	3.86	4.98	2.59	4.92	4.44	4.51	4.35	4.98	5.17	4.79	3.7	7.61	4.87	4.07	3.92
6.76	4.91	3.75	5.91	3.61	5.67	4.59	5.89	3.13	5.15	4.8	6.48	2.78	4.51	5.82	2.87	2.98	6.25	5.56	5.12
5.63	5.59	4.53	5.94	4.61	4.64	5.54	5.42	3.72	3.33	6.14	4.2	5.74	6.35	1.92	6.02	3.44	4.68	4.15	4.19
5.24	6.11	4.87	3.94	4.71	5.26	3.65	5.29	5.07	4.89	4.84	3.74	5.72	5.15	4.72	5.25	4.58	3.39	4.89	4.96
3.92	5.29	5.46	4.26	4.53	3.49	4.28	4.11	4.85	5.39	4.88	5.89	3.55	5.76	5.16	3.64	6.12	5.61	5.21	5.9
3.11	4.94	3.12	6.04	4.46	3.42	8.47	4.88	5.08	4.46	4.06	2.92	2.88	4.47	4.88	5.84	4.43	4.5	6.18	5.11
6.12	5.01	3.24	5.04	3.51	5.16	5.46	5.43	5.16	5.72	4.33	4.72	4.35	6.05	5.95	5.47	6.59	6.12	5.04	4.19
5.91	4.89	6.12	5.26	3.25	5.17	5.29	4.64	3.4	7.35	5.8	5.19	5.83	4.04	6.01	6.8	6.02	4.44	6.42	5.91
4.66	5.34	3.96	5.68	5.95	5.14	5.57	7.89	2.73	2.91	5.37	4.67	4.83	4.04	5.12	5.85	5.41	6.31	5.07	5.05
4.02	6.35	3.74	5.61	5.16	4.47	6.11	2.65	5.56	4.83	3.42	4.66	4.54	6.17	4.02	3.12	2.12	4.49	5.7	3.82
4.96	5.12	4.05	4.26	5.84	5.31	6.44	3.78	5.36	5.12	6.41	5.21	5.11	4.71	4.59	3.17	3.49	4.45	5.12	3.96
5.37	4.98	4.38	4.85	5.85	5.28	6.65	3.71	5.56	4.7	6.97	5.75	4.29	4.62	5.98	3.66	3.8	4.79	5.01	3.83
4.82	3.76	5.47	6.34	4.63	3.86	4.55	6.51	4.96	5.91	5.08	5.8	4.35	7.34	6.3	4.05	4.93	4.57	4.83	5.39
6.19	5.13	3.48	6.32	5.87	4.36	6.52	6.03	6.27	4.79	4.54	5.57	4.9	5.25	4.19	1.93	5.37	5.61	4.72	5.03
4.89	5.81	4.2	5.25	4.03	5.19	4.52	4.94	2.9	3.71	6.52	4.55	4.07	6.8	2.43	4.72	4.74	4.12	5.86	5.1
5.23	4.22	5.75	3.24	4.48	5.95	3.07	5.84	3.11	7.12	5.21	7.39	4.07	5.47	5.86	5.72	5.31	4.36	6.3	3.68
4.35	6.04	3.22	4.48	4.73	6.49	5.51	6.51	3.76	4.61	4.83	5.71	4.55	6.21	5.71	4.86	5.25	6.9	6.62	4.73
5.44	5.03	6.25	4.41	3.98	4.93	4.23	6.2	3.07	5.31	4.38	5.07	4.04	5.72	2.98	3.86	5.93	5.49	6.05	6.65
5.31	5.37	5.12	6.79	5.44	4.38	5.76	7.26	5.02	3.95	4.62	6.18	3.75	4.58	6.1	4.82	4.04	3.77	5.69	6.05
4.47	2.91	6.47	4.62	4.12	5.51	3.42	2.79	3.88	2.93	4.25	3.54	5.37	6.18	5.17	3.99	4.87	4.48	6.44	4.74
5.46	5.04	5.16	3.83	4.01	5.44	4.63	4.54	2.63	4.88	6.34	4.72	5.33	3.92	4.87	5.93	6.89	4.25	5.18	4.67
6.56	5.19	4.49	3.84	4.17	4.63	4.96	4.14	3.73	5.06	5.85	5.31	4.11	3.26	4.27	5.79	5.82	6.54	5.55	3.86
5.27	4.61	5.23	3.54	5.34	3.18	6.21	5.15	4.07	5.02	4.52	4.82	5.81	3.32	4.69	5.13	5.32	4.06	5.1	4.69
6.43	5.8	4.83	5.66	4.24	4.58	5.57	3.95	6.33	4.93	5.24	6.19	5.81	4.63	6.09	4.02	3.95	2.92	4.24	4.68
4.95	4.89	4.55	5.46	5.61	6.44	4.85	5.19	5.85	4.99	4.49	4.85	6.98	4.99	5.5	5.1	5.93	6.16	3.44	5.16
